,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,y
0,0,1,0,1,1,0,1,1,0,1,1,1,1,34.181
1,0,0,0,0,1,0,0,0,1,0,1,1,0,31.768
2,1,0,0,0,0,0,0,1,1,0,0,0,0,22.443
3,1,1,1,1,0,0,0,1,0,1,1,0,0,23.058
4,0,1,1,1,1,0,1,1,0,1,0,0,0,23.001
5,1,0,1,1,0,0,0,0,0,0,0,1,0,31.887
6,1,1,1,1,1,0,0,0,0,1,0,1,1,34.094
7,1,1,1,1,0,0,0,0,0,0,1,0,1,24.355
8,0,0,1,1,0,0,1,0,0,0,0,0,1,24.257
9,1,0,0,1,1,0,0,0,0,0,0,1,0,31.867
10,1,1,0,0,0,1,0,1,1,1,0,0,0,22.892
11,0,0,0,0,1,1,1,0,1,1,0,1,0,32.116
12,0,0,1,0,1,1,1,1,1,1,1,1,1,34.063
13,0,0,0,0,0,0,0,0,0,0,1,0,1,24.125
14,1,1,1,0,1,1,1,1,1,0,0,1,1,33.699
15,1,1,0,1,1,1,1,0,0,1,0,1,1,34.09
16,1,0,1,0,0,1,0,0,0,0,0,0,1,24.156
17,1,1,0,1,0,1,0,0,1,1,1,0,0,23.05
18,1,0,1,1,1,1,0,0,1,1,0,1,0,32.354
19,0,1,0,1,1,0,0,1,0,0,1,1,0,31.962
20,0,1,0,0,1,0,1,0,1,1,0,0,0,22.815
21,0,0,0,0,0,0,1,0,0,0,1,0,0,22.423
22,0,1,1,1,0,0,1,1,1,1,1,1,1,34.187
23,0,1,1,1,0,0,1,0,0,0,0,1,0,31.868
24,1,0,0,0,1,1,0,1,0,0,1,1,0,31.829
25,1,0,0,0,0,0,1,0,0,0,0,1,0,31.713
26,1,1,1,1,1,0,1,0,0,0,0,0,1,24.343
27,1,1,1,0,1,1,1,0,0,1,1,1,1,34.037
28,0,1,0,0,0,1,1,1,1,1,0,1,1,33.969
29,0,0,1,1,1,1,0,0,1,1,1,1,0,32.384
30,1,1,1,0,1,1,1,1,1,0,0,0,0,22.548
31,1,0,1,1,0,1,1,0,1,0,1,1,0,32.018
32,0,0,1,0,0,1,1,1,0,0,0,0,1,24.189
33,1,0,1,0,0,0,1,1,0,1,0,1,1,33.949
34,1,0,1,0,0,0,0,1,1,1,1,1,0,32.225
35,1,0,1,1,1,0,0,0,0,1,0,1,0,32.275
36,1,1,1,0,0,0,1,1,1,0,0,1,0,31.826
37,1,0,1,1,0,1,1,0,1,0,0,1,1,33.734
38,0,1,0,1,0,1,0,0,1,1,0,0,0,22.978
39,0,1,1,0,0,0,1,0,1,0,0,1,1,33.573
40,1,1,1,0,1,1,0,1,1,1,0,0,0,22.907
41,0,1,1,0,1,1,0,0,1,0,0,1,0,31.816
42,0,1,1,1,0,1,1,0,1,0,0,1,0,31.955
43,1,0,1,1,1,0,1,0,1,1,1,1,0,32.448
44,1,1,1,0,1,1,1,0,0,0,1,0,0,22.535
45,1,0,0,0,1,0,1,1,0,0,1,0,0,22.497
46,0,0,1,0,0,0,1,1,1,1,0,1,1,33.956
47,0,1,0,0,0,1,0,0,1,0,1,1,0,31.849
48,0,0,0,1,1,0,1,1,0,1,0,1,0,32.219
49,0,1,0,1,1,1,1,0,1,1,1,1,0,32.412
50,0,0,1,1,1,0,0,1,1,0,0,1,1,33.718
