y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17
39.03,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0
27.69,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1
29.03,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0
27.369,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1
39.086,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
27.469,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1
27.896,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0
39.305,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1
39.336,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1
39.48,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0
39.146,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
39.217,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0
28.416,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
28.081,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1
29.111,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
37.13,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0
37.443,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
39.219,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1
37.295,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
27.21,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
39.155,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1
29.985,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1
38.824,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1
29.876,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0
27.976,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0
36.929,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1
37.533,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1
37.432,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1
37.028,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1
27.772,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1
39.703,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0
37.388,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0
27.297,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0
39.549,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1
37.247,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
39.173,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0
28.23,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1
39.34,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1
38.835,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1
27.829,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0
38.685,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0
38.085,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1
39.827,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0
39.159,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0
37.073,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
28.2,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0
29.057,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
37.813,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1
37.641,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
28.46,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1
29.034,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
37.292,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1
38.728,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0
37.726,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1
39.374,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1
29.196,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1
39.112,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1
29.427,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
39.161,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
29.753,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1
37.697,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0
39.083,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1
27.692,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1
27.875,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1
37.137,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1
37.402,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
37.863,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1
27.179,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
39.11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
39.362,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0
39.823,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1
37.122,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0
29.473,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1
37.245,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0
40.074,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1
38.31,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0
29.784,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1
27.225,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
39.483,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1
28.566,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1
38.916,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0
27.871,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1
36.834,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0
27.699,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
39.977,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1
27.295,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
29.075,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1
28.867,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0
37.444,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1
37.262,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1
39.206,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1
27.903,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0
39.023,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0
