(55, 0);(19, 38);(1, 46);(87, 72);(90, 89);(58, 84);(29, 71);(82, 58);(26, 31);(10, 28)
91,82.292,80.498,94.255,4.472,15.033,34.482,62.073,18.358,77.936,93.150
76,96.317,79.906,89.045,24.597,14.866,20.591,52.326,36.497,80.430,93.338
88,33.377,76.485,96.177,67.007,84.024,84.504,88.527,53.339,67.231,81.320
15,83.241,35.228,30.414,72.007,76.688,44.385,14.142,68.659,43.417,45.277
65,79.630,61.620,72.007,23.087,26.926,8.602,36.878,27.019,61.847,75.007
37,72.277,36.715,43.267,50.040,56.303,25.239,8.062,46.573,40.522,49.930
10,96.177,47.854,40.025,78.090,80.100,48.010,23.601,76.896,56.321,57.000
50,59.211,37.443,50.695,39.217,50.000,26.249,24.187,32.016,36.878,50.606
82,27.893,70.214,89.900,65.192,82.389,80.654,83.096,51.000,60.926,75.000
33,37.202,16.125,35.777,68.411,82.037,59.506,41.195,56.436,7.071,23.087
53,34.059,34.234,53.367,50.990,66.287,50.249,44.102,37.643,27.166,43.417
5,63.411,14.036,8.062,88.391,98.615,69.527,40.000,79.310,22.472,12.083
86,68.425,70.838,86.313,11.045,28.284,36.235,57.871,5.000,67.082,82.855
18,64.637,15.033,18.385,71.568,80.498,50.606,21.095,64.195,23.409,26.249
9,61.620,10.440,9.434,83.934,94.154,65.192,36.056,74.953,19.723,13.038
94,80.131,81.541,96.047,7.280,19.416,38.626,65.008,16.971,78.390,93.915
10,108.747,61.660,53.759,81.597,80.623,50.289,33.838,82.855,69.857,71.000
27,37.537,15.264,33.422,76.217,89.805,66.648,46.043,64.140,6.083,17.263
71,17.464,60.539,80.131,66.940,84.172,78.090,76.551,52.173,51.000,64.514
64,25.632,47.127,66.731,53.226,70.007,60.299,58.600,38.471,38.639,54.148
13,43.417,27.659,37.000,95.901,109.604,85.755,62.097,83.487,23.854,17.263
26,88.865,46.530,45.486,62.169,64.195,32.000,13.342,61.741,53.000,58.241
87,55.218,68.359,86.006,27.000,44.102,48.600,63.561,13.928,62.586,78.854
8,65.069,13.038,7.071,83.487,93.059,63.411,33.422,75.133,22.804,17.117
0,56.754,30.610,32.016,104.561,117.154,90.907,63.953,93.059,31.064,17.205
67,16.279,55.073,74.706,64.195,81.320,73.553,71.021,49.336,45.618,59.481
39,48.703,21.541,38.000,54.589,66.708,42.485,26.926,44.643,19.849,34.132
69,48.083,50.636,68.000,31.623,47.854,39.560,47.170,17.692,45.541,61.685
0,76.381,24.207,7.071,89.051,96.933,65.765,34.132,82.152,34.059,26.926
83,75.392,71.554,85.440,4.472,20.248,28.653,54.009,12.042,69.065,84.220
55,97.000,69.116,74.277,40.608,35.903,13.342,36.770,47.434,72.090,82.377
26,77.621,34.713,36.069,61.000,66.219,34.176,3.162,57.723,41.000,46.819
62,65.376,50.774,63.891,25.962,36.878,19.416,33.541,21.190,49.518,63.820
25,30.017,37.483,51.000,94.260,109.403,89.320,70.114,80.610,30.017,30.887
88,46.669,69.181,87.966,39.013,56.036,59.169,70.178,25.710,62.032,78.160
70,99.141,78.746,86.400,31.064,21.932,18.439,49.092,41.761,80.156,92.195
61,89.202,66.068,73.817,31.064,29.000,5.831,36.715,37.443,67.742,79.511
4,107.824,58.941,49.092,86.128,86.209,55.109,34.655,86.331,67.676,67.268
96,60.877,77.318,95.005,28.460,44.407,54.452,71.868,19.105,71.386,87.664
76,75.961,66.888,79.712,11.045,21.260,21.095,47.043,16.155,65.299,79.881
41,63.561,32.558,43.081,47.074,55.946,27.803,15.000,41.195,34.438,46.011
60,97.129,71.847,77.987,36.797,31.048,13.153,40.460,44.777,74.243,85.212
4,51.624,33.541,38.118,104.809,118.140,93.231,67.779,92.650,31.828,20.881
35,57.585,22.627,34.928,55.027,65.192,37.802,18.028,47.170,24.698,36.069
68,45.880,49.366,67.030,33.838,50.090,41.231,47.434,19.799,43.966,60.166
53,83.024,56.400,63.820,35.735,37.483,5.099,26.833,38.288,58.592,69.814
52,49.092,34.785,51.088,41.881,55.172,35.511,31.828,31.321,31.623,46.957
57,23.087,40.853,60.539,57.454,73.790,61.008,55.570,43.012,32.016,47.265
98,65.947,79.906,97.082,24.597,39.812,52.498,72.125,17.889,74.465,90.708
15,90.338,43.186,37.696,72.560,75.425,43.105,17.205,70.838,51.196,53.235
52,62.073,40.804,53.451,36.401,46.615,22.804,24.698,30.265,40.460,54.037
57,9.220,47.802,67.119,69.778,86.539,75.007,68.029,55.009,38.013,50.695
49,25.710,32.696,52.393,60.440,76.007,59.682,50.160,46.669,23.770,39.115
98,81.302,84.865,99.690,11.402,21.541,42.720,69.029,19.416,81.413,97.082
57,6.325,49.679,68.819,72.498,89.320,78.006,70.774,57.697,39.825,51.894
4,75.743,23.431,10.440,84.528,92.114,60.828,29.155,78.026,33.302,28.636
75,81.492,69.405,81.025,13.892,18.028,17.720,46.690,22.136,68.593,82.620
46,24.698,30.887,50.537,63.891,79.322,62.169,50.922,50.210,21.541,36.346
51,30.265,32.985,52.498,55.317,70.725,54.452,46.530,41.773,25.020,41.049
7,61.847,12.042,9.220,86.539,96.897,68.015,38.833,77.369,20.616,11.402
70,65.734,57.245,71.309,18.788,32.016,23.324,41.593,13.416,55.000,69.971
52,32.140,33.541,52.887,53.151,68.505,52.345,45.277,39.699,26.019,42.190
3,70.767,18.868,2.828,87.361,96.177,65.734,34.713,79.630,28.601,21.190
17,44.944,14.142,27.203,84.876,97.745,72.670,48.508,73.355,11.402,8.062
65,92.542,70.937,78.816,29.732,25.179,10.630,41.677,38.013,72.402,84.386
41,14.560,40.497,58.000,82.098,98.112,81.786,68.066,67.801,30.887,39.205
20,83.672,38.013,35.511,67.119,71.197,38.833,10.296,64.560,45.398,49.031
9,110.073,62.801,54.589,82.873,81.744,51.546,35.228,84.220,71.063,72.007
93,38.053,82.292,101.980,70.257,87.052,89.157,94.112,57.070,73.007,86.977
29,45.222,10.050,29.411,67.742,80.156,55.227,34.000,57.009,6.708,21.024
7,72.250,20.000,10.000,82.000,90.078,59.169,27.803,75.107,29.833,26.173
44,45.354,25.710,43.046,51.313,64.351,42.379,30.887,40.497,22.204,37.577
100,64.351,81.394,99.000,29.069,44.147,56.639,75.273,21.633,75.505,91.782
56,6.083,48.918,68.007,72.918,89.694,78.026,70.385,58.138,39.051,50.990
81,27.203,68.877,88.566,64.281,81.498,79.404,81.688,50.010,59.615,73.763
57,64.031,46.043,58.822,31.048,41.400,20.025,28.862,25.710,45.277,59.203
52,14.318,40.804,60.208,67.742,84.077,70.257,61.465,53.254,31.064,44.272
36,65.803,30.232,38.910,51.788,59.933,30.414,10.630,46.271,33.526,43.600
49,96.187,65.299,69.311,44.944,41.593,15.000,32.016,50.329,68.949,78.390
67,30.463,49.031,68.411,48.332,65.192,56.719,57.385,33.541,41.110,57.000
19,92.309,47.000,42.953,69.231,71.113,39.013,17.205,68.542,54.452,57.706
28,72.236,30.364,34.205,59.211,65.788,34.482,4.123,54.745,36.056,42.953
91,105.342,94.366,104.446,27.295,10.050,36.249,68.029,41.976,94.069,107.713
41,78.262,44.777,50.606,46.271,50.448,18.385,13.416,45.188,48.384,57.983
44,31.016,26.571,46.239,60.811,75.604,56.754,44.598,47.802,18.111,34.015
53,63.032,42.202,54.708,35.171,45.222,21.587,25.298,29.428,41.869,55.444
52,96.047,66.731,71.421,42.438,38.639,13.416,33.971,48.415,70.007,79.925
73,72.277,62.769,75.895,14.142,25.495,20.518,44.011,15.000,61.074,75.717
46,84.481,53.339,58.898,42.720,44.283,12.000,21.401,44.407,56.648,66.573
64,33.242,45.398,64.537,46.141,62.650,52.345,52.402,31.623,38.013,54.148
86,31.016,76.538,96.177,71.007,88.091,87.596,90.272,57.140,67.082,80.654
79,30.000,63.246,82.873,54.589,71.847,69.260,72.863,40.112,54.571,69.721
83,76.322,72.007,85.726,4.123,19.313,28.178,54.000,13.038,69.635,84.723
97,43.966,81.908,101.514,59.841,76.322,81.006,89.376,47.434,73.246,88.284
77,85.866,73.410,84.528,14.866,14.318,19.026,49.477,25.495,72.835,86.683
71,32.249,52.953,72.277,46.819,63.891,57.489,60.108,31.953,45.100,61.000
64,98.412,75.000,81.688,34.713,27.514,15.232,44.204,43.863,77.026,88.408
23,84.309,40.200,38.833,64.281,67.897,35.511,9.220,62.298,47.096,51.662
77,22.000,69.340,88.837,72.691,89.944,86.122,85.703,58.215,59.682,72.615
35,20.616,36.674,53.263,84.812,100.404,82.280,66.272,70.838,27.514,33.971
12,64.444,12.207,11.180,78.746,88.119,58.412,28.601,70.711,22.023,20.100
58,16.279,44.777,64.413,63.063,79.706,68.000,62.177,48.374,35.341,49.477
95,71.281,78.848,94.895,15.264,30.414,44.654,67.082,13.038,74.465,90.477
14,63.891,12.083,13.342,76.538,85.884,56.223,26.627,68.593,21.633,21.378
1,55.543,30.806,33.000,104.293,117.034,91.049,64.405,92.661,30.806,17.493
8,77.006,25.495,16.553,79.762,86.649,55.036,23.259,74.061,34.986,33.061
4,59.169,17.000,16.279,93.022,104.293,76.368,48.021,82.873,22.023,6.325
17,46.043,12.166,25.612,83.762,96.426,71.028,46.573,72.450,10.296,7.280
19,46.861,8.000,24.083,79.925,92.315,66.611,42.202,68.942,7.071,9.220
89,34.132,78.262,97.944,69.029,86.006,86.729,90.686,55.444,68.942,82.861
44,61.984,33.971,45.541,44.385,53.852,26.926,18.028,38.118,34.986,47.381
0,57.871,27.586,28.018,102.396,114.634,87.864,60.415,91.236,29.069,14.142
68,58.464,52.555,67.897,24.207,38.833,28.792,41.437,14.036,49.396,64.846
50,94.133,64.008,68.593,43.046,40.311,12.806,31.145,48.166,67.417,77.175
21,86.006,41.049,38.588,66.370,69.721,37.336,11.314,64.514,48.260,52.173
16,87.207,40.112,35.341,71.253,74.813,42.426,14.765,68.964,48.052,50.359
57,48.042,39.294,56.036,38.419,52.631,36.014,36.235,26.926,35.355,51.078
23,104.995,62.129,58.310,69.857,67.897,38.484,29.614,72.422,69.065,73.164
71,73.756,62.129,74.673,16.000,25.495,17.692,42.012,17.804,60.877,75.213
77,75.286,67.231,80.324,10.000,21.401,22.472,48.010,14.866,65.437,80.156
45,68.731,39.699,49.193,42.190,49.659,20.616,16.279,38.328,41.593,53.151
79,67.417,65.000,79.831,12.042,28.231,29.698,50.636,5.831,61.911,77.369
59,63.127,47.170,60.440,29.411,40.460,21.024,31.048,23.537,45.967,60.216
18,50.249,4.123,20.809,78.772,90.604,64.031,38.601,68.352,8.544,10.000
77,66.731,63.159,77.878,13.454,29.069,28.320,48.662,7.071,60.208,75.591
48,48.508,30.676,47.043,45.793,58.694,37.363,29.833,35.440,27.803,42.942
88,101.514,90.139,100.344,24.021,7.280,32.311,64.078,38.471,89.828,103.479
15,41.485,27.295,37.696,94.366,108.208,84.723,61.612,81.841,22.825,17.720
97,107.541,99.020,109.659,28.792,12.207,41.785,73.539,43.658,98.311,112.294
89,54.818,70.178,88.051,29.069,46.011,51.400,66.212,16.553,64.133,80.411
25,66.189,21.840,27.295,63.348,71.589,41.400,12.649,57.009,28.018,34.438
47,66.483,39.598,50.160,40.447,48.765,21.095,18.682,35.903,40.817,53.038
3,74.967,22.627,8.246,85.907,93.776,62.650,31.064,79.101,32.527,26.926
72,22.023,58.181,77.878,59.908,77.130,71.386,71.400,45.122,49.041,63.561
59,11.705,48.260,67.742,67.119,83.934,73.007,67.082,52.326,38.588,51.865
23,64.498,18.439,24.166,65.970,74.686,44.822,16.155,59.034,25.179,30.871
6,79.025,27.295,16.763,81.615,88.233,56.462,24.698,76.105,36.892,34.234
24,62.266,16.763,24.352,65.521,74.706,45.343,17.720,58.138,23.087,29.530
99,45.880,83.815,103.407,60.208,76.531,81.988,90.907,48.104,75.186,90.255
10,53.000,13.454,20.125,88.685,100.603,73.756,47.011,78.000,16.279,0.000
55,73.000,50.210,60.374,32.016,38.484,11.402,26.077,30.887,51.039,63.640
46,23.770,31.385,51.000,64.661,80.156,63.151,51.865,50.912,21.932,36.497
52,25.179,35.468,55.154,58.600,74.431,59.304,51.430,44.598,26.683,42.107
63,14.422,51.108,70.711,64.622,81.597,72.173,68.096,49.769,41.593,55.362
100,47.127,84.481,104.043,59.439,75.664,81.633,91.049,47.539,75.928,91.082
65,46.098,46.530,64.008,34.828,50.606,39.623,44.407,21.401,41.437,57.567
26,47.802,7.000,26.249,69.836,81.835,56.036,33.136,59.464,7.000,18.868
56,33.015,37.336,56.515,49.820,65.513,51.039,46.615,36.069,30.067,46.271
52,32.140,33.541,52.887,53.151,68.505,52.345,45.277,39.699,26.019,42.190
6,49.366,34.540,40.311,104.484,118.089,93.744,68.949,92.087,32.016,22.361
69,50.000,50.990,68.029,30.000,46.065,37.643,46.141,16.401,46.239,62.298
4,108.706,59.908,50.090,86.400,86.284,55.317,35.355,86.764,68.622,68.264
61,6.708,54.672,73.817,73.736,90.758,81.056,75.153,58.873,44.822,56.798
66,43.417,47.170,65.123,36.620,52.773,42.755,47.011,22.627,41.485,57.723
17,65.215,15.133,17.464,72.533,81.394,51.400,21.633,65.192,23.770,25.962
94,44.777,76.688,96.047,50.488,67.119,71.694,81.400,37.947,68.593,84.214
92,55.227,73.062,91.137,31.401,48.042,54.818,69.778,19.723,66.753,83.024
51,97.082,67.119,71.421,43.829,39.812,14.765,34.059,49.820,70.576,80.262
71,16.492,62.129,81.633,69.857,87.098,81.049,79.076,55.109,52.479,65.552
34,43.417,15.000,33.956,62.968,75.743,51.884,33.377,52.000,10.630,26.000
80,44.654,61.008,79.511,35.693,52.953,51.894,61.294,21.095,54.332,70.576
27,52.154,10.000,26.077,66.212,77.421,50.606,27.074,56.754,13.038,23.345
58,7.616,49.820,69.065,71.176,88.023,77.000,70.264,56.365,40.000,52.393
58,6.708,50.448,69.635,72.090,88.955,78.000,71.176,57.271,40.608,52.802
99,71.218,82.000,98.509,20.000,34.205,49.649,71.589,17.117,77.162,93.301
18,37.483,32.016,43.463,95.483,109.877,87.658,65.924,82.462,26.249,23.409
31,95.079,55.317,54.918,59.464,59.076,28.160,21.095,61.294,61.205,67.357
95,70.456,78.588,94.763,16.125,31.401,45.222,67.268,13.000,74.095,90.139
83,32.757,67.357,86.977,55.145,72.339,71.512,76.368,41.012,58.694,73.824
50,58.215,36.892,50.448,39.560,50.606,27.203,24.698,32.000,36.125,50.000
52,36.125,33.061,51.971,50.210,65.215,48.374,41.881,37.202,26.476,42.755
54,39.013,35.014,53.460,46.669,61.612,45.177,40.608,33.838,29.120,45.354
56,60.008,43.046,56.754,33.242,44.688,24.083,29.155,26.077,41.725,56.036
65,35.440,46.174,65.115,43.909,60.415,50.488,51.624,29.411,39.115,55.326
94,52.402,75.060,93.648,37.656,54.148,60.803,74.303,25.942,68.118,84.291
23,94.578,51.157,48.301,66.219,67.000,35.355,18.974,66.648,58.078,62.370
31,71.169,31.385,36.620,56.223,62.968,31.906,4.472,51.788,36.346,44.294
45,28.792,28.231,47.927,61.555,76.609,58.464,46.819,48.270,19.416,35.014
51,74.108,48.166,57.306,36.056,41.785,12.207,22.204,34.886,49.739,61.620
64,77.524,59.548,70.214,23.537,28.636,9.220,35.511,26.173,59.666,72.918
47,24.352,31.765,51.430,63.253,78.772,61.984,51.264,49.497,22.472,37.336
32,23.000,40.162,55.471,90.604,106.231,87.932,71.063,76.577,31.575,35.609
73,44.777,54.083,72.173,34.015,50.922,45.541,53.254,19.235,48.052,64.327
81,64.475,65.460,81.049,14.318,31.321,33.971,53.367,1.414,61.717,77.473
86,104.695,91.285,100.703,28.018,11.705,32.249,63.953,42.190,91.439,104.690
43,16.279,36.125,54.672,75.213,91.066,74.525,61.612,61.074,26.249,37.121
30,79.057,38.601,41.012,57.079,61.612,29.411,4.123,54.708,44.181,51.078
